	GOOG	Stock Price	Cash	Portfolio Value
2015-09-03	-100	606.25	147976.79959999997	87351.79959999997
2015-09-04	-100	600.700012	147976.79959999997	87906.79839999997
2015-09-08	-100	614.659973	147976.79959999997	86510.80229999997
2015-09-09	0	612.719971	86704.80249999996	86704.80249999996
2015-09-10	0	621.349976	86704.80249999996	86704.80249999996
2015-09-11	-100	625.77002	149281.80449999997	86704.80249999996
2015-09-14	0	623.23999	86957.80549999996	86957.80549999996
2015-09-15	100	635.1400150000001	23443.803999999953	86957.80549999996
2015-09-16	0	635.97998	87041.80199999994	87041.80199999994
2015-09-17	0	642.900024	87041.80199999994	87041.80199999994
2015-09-18	100	629.25	24116.801999999938	87041.80199999994
2015-09-21	0	635.4400019999999	87660.80219999993	87660.80219999993
2015-09-22	100	622.6900019999999	25391.801999999938	87660.80219999993
2015-09-23	100	622.3599849999999	25391.801999999938	87627.80049999992
2015-09-24	0	625.799988	87971.80079999994	87971.80079999994
2015-09-25	0	611.969971	87971.80079999994	87971.80079999994
2015-09-28	100	594.8900150000001	28482.799299999933	87971.80079999994
2015-09-29	0	594.969971	87979.79639999993	87979.79639999993
2015-09-30	0	608.419983	87979.79639999993	87979.79639999993
2015-10-01	100	611.289978	26850.79859999993	87979.79639999993
2015-10-02	0	626.909973	89541.79589999994	89541.79589999994
2015-10-05	0	641.469971	89541.79589999994	89541.79589999994
2015-10-06	0	645.4400019999999	89541.79589999994	89541.79589999994
2015-10-07	-100	642.3599849999999	153777.79439999993	89541.79589999994
2015-10-08	0	639.159973	89861.79709999992	89861.79709999992
2015-10-09	100	643.6099849999999	25500.79859999993	89861.79709999992
2015-10-12	100	646.669983	25500.79859999993	90167.79689999993
2015-10-13	0	652.299988	90730.79739999992	90730.79739999992
2015-10-14	0	651.159973	90730.79739999992	90730.79739999992
2015-10-15	0	661.73999	90730.79739999992	90730.79739999992
2015-10-16	0	662.200012	90730.79739999992	90730.79739999992
2015-10-19	0	666.099976	90730.79739999992	90730.79739999992
2015-10-20	0	650.280029	90730.79739999992	90730.79739999992
2015-10-21	0	642.6099849999999	90730.79739999992	90730.79739999992
2015-10-22	100	651.789978	25551.79959999992	90730.79739999992
2015-10-23	100	702.0	25551.79959999992	95751.79959999991
2015-10-26	100	712.780029	25551.79959999992	96829.80249999993
2015-10-27	100	708.48999	25551.79959999992	96400.79859999992
2015-10-28	100	712.950012	25551.79959999992	96846.80079999991
2015-10-29	100	716.919983	25551.79959999992	97243.79789999992
2015-10-30	100	710.8099980000001	25551.79959999992	96632.79939999993
2015-11-02	100	721.1099849999999	25551.79959999992	97662.7980999999
2015-11-03	100	722.159973	25551.79959999992	97767.79689999993
2015-11-04	100	728.1099849999999	25551.79959999992	98362.7980999999
2015-11-05	0	731.25	98676.79959999991	98676.79959999991
2015-11-06	0	733.76001	98676.79959999991	98676.79959999991
2015-11-09	100	724.8900150000001	26187.798099999898	98676.79959999991
2015-11-10	0	728.320007	99019.7987999999	99019.7987999999
2015-11-11	0	735.400024	99019.7987999999	99019.7987999999
2015-11-12	-100	731.22998	172142.7967999999	99019.7987999999
2015-11-13	0	717.0	100442.7967999999	100442.7967999999
2015-11-16	0	728.960022	100442.7967999999	100442.7967999999
2015-11-17	0	725.299988	100442.7967999999	100442.7967999999
2015-11-18	-100	740.0	174442.7967999999	100442.7967999999
2015-11-19	0	738.409973	100601.79949999989	100601.79949999989
2015-11-20	-100	756.599976	176261.7970999999	100601.7994999999
2015-11-23	-100	755.97998	176261.7970999999	100663.79909999992
2015-11-24	0	748.280029	101433.7941999999	101433.7941999999
2015-11-25	100	748.150024	26618.791799999904	101433.7941999999
2015-11-27	0	750.26001	101644.7927999999	101644.7927999999
2015-11-30	0	742.599976	101644.7927999999	101644.7927999999
2015-12-01	-100	767.039978	178348.7905999999	101644.7927999999
2015-12-02	0	762.380005	102110.7900999999	102110.7900999999
2015-12-03	0	752.539978	102110.7900999999	102110.7900999999
2015-12-04	0	766.8099980000001	102110.7900999999	102110.7900999999
2015-12-07	0	763.25	102110.7900999999	102110.7900999999
2015-12-08	-100	762.369995	178347.7895999999	102110.7900999999
2015-12-09	-100	751.6099849999999	178347.7895999999	103186.79109999991
2015-12-10	0	749.460022	103401.7873999999	103401.7873999999
2015-12-11	0	738.869995	103401.7873999999	103401.7873999999
2015-12-14	0	747.77002	103401.7873999999	103401.7873999999
2015-12-15	0	743.400024	103401.7873999999	103401.7873999999
2015-12-16	-100	758.090027	179210.7900999999	103401.7873999999
2015-12-17	-100	749.429993	179210.7900999999	104267.7907999999
2015-12-18	0	739.3099980000001	105279.79029999989	105279.79029999989
2015-12-21	0	747.77002	105279.79029999989	105279.79029999989
2015-12-22	100	750.0	30279.79029999989	105279.79029999989
2015-12-23	100	750.3099980000001	30279.79029999989	105310.7900999999
2015-12-24	100	748.400024	30279.79029999989	105119.79269999989
2015-12-28	100	762.51001	30279.79029999989	106530.79129999988
2015-12-29	100	776.599976	30279.79029999989	107939.7878999999
2015-12-30	0	771.0	107379.79029999989	107379.79029999989
2015-12-31	100	758.880005	31491.789799999897	107379.79029999989
